Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
2017,1,Ciutat Vella,1,el Raval,113.4
2017,1,Ciutat Vella,2,el Barri Gòtic,167.2
2017,1,Ciutat Vella,3,la Barceloneta,117.2
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",121.6
2017,2,Eixample,5,el Fort Pienc,69.8
2017,2,Eixample,6,la Sagrada Família,69.6
2017,2,Eixample,7,la Dreta de l'Eixample,72.6
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,81.9
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,69.8
2017,2,Eixample,10,Sant Antoni,64.9
2017,3,Sants-Montjuïc,11,el Poble Sec,76.7
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,27.8
2017,3,Sants-Montjuïc,13,la Marina de Port,49.0
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,62.1
2017,3,Sants-Montjuïc,15,Hostafrancs,72.8
2017,3,Sants-Montjuïc,16,la Bordeta,50.9
2017,3,Sants-Montjuïc,17,Sants - Badal,61.5
2017,3,Sants-Montjuïc,18,Sants,69.0
2017,4,Les Corts,19,les Corts,49.4
2017,4,Les Corts,20,la Maternitat i Sant Ramon,55.7
2017,4,Les Corts,21,Pedralbes,63.2
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",40.0
2017,5,Sarrià-Sant Gervasi,23,Sarrià,48.2
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,42.1
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,45.8
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,51.0
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,51.4
2017,6,Gràcia,28,Vallcarca i els Penitents,48.9
2017,6,Gràcia,29,el Coll,50.1
2017,6,Gràcia,30,la Salut,55.5
2017,6,Gràcia,31,la Vila de Gràcia,70.8
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,52.1
2017,7,Horta-Guinardó,33,el Baix Guinardó,50.0
2017,7,Horta-Guinardó,34,Can Baró,52.5
2017,7,Horta-Guinardó,35,el Guinardó,50.3
2017,7,Horta-Guinardó,36,la Font d'en Fargues,30.1
2017,7,Horta-Guinardó,37,el Carmel,44.8
2017,7,Horta-Guinardó,38,la Teixonera,44.0
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,56.3
2017,7,Horta-Guinardó,40,Montbau,50.1
2017,7,Horta-Guinardó,41,la Vall d'Hebron,32.3
2017,7,Horta-Guinardó,42,la Clota,63.9
2017,7,Horta-Guinardó,43,Horta,42.1
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,41.2
2017,8,Nou Barris,45,Porta,55.9
2017,8,Nou Barris,46,el Turó de la Peira,56.7
2017,8,Nou Barris,47,Can Peguera,25.0
2017,8,Nou Barris,48,la Guineueta,32.3
2017,8,Nou Barris,49,Canyelles,20.4
2017,8,Nou Barris,50,les Roquetes,59.0
2017,8,Nou Barris,51,Verdun,53.9
2017,8,Nou Barris,52,la Prosperitat,45.7
2017,8,Nou Barris,53,la Trinitat Nova,63.0
2017,8,Nou Barris,54,Torre Baró,33.2
2017,8,Nou Barris,55,Ciutat Meridiana,81.0
2017,8,Nou Barris,56,Vallbona,50.2
2017,9,Sant Andreu,57,la Trinitat Vella,67.6
2017,9,Sant Andreu,58,Baró de Viver,36.2
2017,9,Sant Andreu,59,el Bon Pastor,52.3
2017,9,Sant Andreu,60,Sant Andreu,34.3
2017,9,Sant Andreu,61,la Sagrera,46.5
2017,9,Sant Andreu,62,el Congrés i els Indians,42.7
2017,9,Sant Andreu,63,Navas,44.6
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,57.6
2017,10,Sant Martí,65,el Clot,48.1
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,63.3
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,43.7
2017,10,Sant Martí,68,el Poblenou,52.1
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,57.2
2017,10,Sant Martí,70,el Besòs i el Maresme,87.6
2017,10,Sant Martí,71,Provençals del Poblenou,47.5
2017,10,Sant Martí,72,Sant Martí de Provençals,41.0
2017,10,Sant Martí,73,la Verneda i la Pau,43.2
